Actual Price ($),Predicted Price ($),Absolute Error ($),Accuracy (%)
"$219,900","$292,627","$72,727",66.93
"$420,000","$440,968","$20,968",95.01
"$624,900","$848,859","$223,959",64.16
"$244,000","$260,343","$16,343",93.3
"$665,000","$577,896","$87,104",86.9
"$225,000","$259,461","$34,461",84.68
"$594,900","$639,223","$44,323",92.55
"$855,000","$806,443","$48,557",94.32
"$459,500","$420,268","$39,232",91.46
"$192,000","$227,970","$35,970",81.27
"$339,500","$271,632","$67,868",80.01
"$774,999","$554,981","$220,018",71.61
"$200,000","$249,406","$49,406",75.3
"$725,000","$901,577","$176,577",75.64
"$205,000","$206,928","$1,928",99.06
"$465,000","$404,862","$60,138",87.07
"$245,000","$258,276","$13,276",94.58
"$570,000","$593,774","$23,774",95.83
"$385,000","$797,623","$412,623",-7.17
"$625,000","$591,651","$33,349",94.66
"$164,900","$210,818","$45,918",72.15
"$949,997","$934,256","$15,741",98.34
"$349,000","$394,212","$45,212",87.05
"$625,000","$871,549","$246,549",60.55
"$419,900","$601,430","$181,530",56.77
"$400,000","$391,746","$8,254",97.94
"$649,900","$577,421","$72,479",88.85
"$1,140,000","$1,071,076","$68,924",93.95
"$299,900","$335,389","$35,489",88.17
"$425,000","$510,494","$85,494",79.88
"$225,000","$218,552","$6,448",97.13
"$799,900","$629,824","$170,076",78.74
"$326,267","$381,187","$54,920",83.17
"$675,000","$529,837","$145,163",78.49
"$369,723","$347,050","$22,673",93.87
"$655,000","$638,929","$16,071",97.55
"$436,900","$435,233","$1,667",99.62
"$1,395,000","$1,052,779","$342,221",75.47
"$174,999","$194,661","$19,662",88.76
"$425,000","$551,437","$126,437",70.25
"$480,000","$443,499","$36,501",92.4
"$489,000","$402,853","$86,147",82.38
"$510,000","$401,416","$108,584",78.71
"$614,990","$542,323","$72,667",88.18
"$590,000","$549,923","$40,077",93.21
"$998,900","$1,134,486","$135,586",86.43
"$459,900","$516,159","$56,259",87.77
"$209,900","$249,400","$39,500",81.18
"$400,000","$470,630","$70,630",82.34
"$204,900","$211,924","$7,024",96.57
"$699,950","$582,302","$117,648",83.19
"$369,000","$346,433","$22,567",93.88
"$950,000","$849,267","$100,733",89.4
"$389,000","$400,135","$11,135",97.14
"$299,900","$361,316","$61,416",79.52
"$669,000","$612,333","$56,667",91.53
"$596,900","$699,249","$102,349",82.85
"$675,000","$830,197","$155,197",77.01
"$433,500","$500,404","$66,904",84.57
"$875,000","$923,641","$48,641",94.44
"$1,125,000","$895,041","$229,959",79.56
"$925,000","$775,136","$149,864",83.8
"$439,850","$461,333","$21,483",95.12
"$712,500","$613,516","$98,984",86.11
"$204,000","$205,001","$1,001",99.51
"$445,000","$674,421","$229,421",48.44
"$635,000","$446,804","$188,196",70.36
"$342,000","$462,347","$120,347",64.81
"$850,000","$820,048","$29,952",96.48
"$395,000","$440,232","$45,232",88.55
"$200,000","$206,200","$6,200",96.9
"$975,000","$922,388","$52,612",94.6
"$349,900","$384,570","$34,670",90.09
"$769,900","$631,387","$138,513",82.01
"$350,000","$341,293","$8,707",97.51
"$1,169,000","$997,867","$171,133",85.36
"$550,000","$426,705","$123,295",77.58
"$249,000","$219,197","$29,803",88.03
"$750,000","$773,318","$23,318",96.89
"$206,900","$194,177","$12,723",93.85
"$209,999","$226,026","$16,027",92.37
"$499,996","$497,226","$2,770",99.45
"$350,000","$444,093","$94,093",73.12
"$259,900","$330,213","$70,313",72.95
"$517,000","$531,191","$14,191",97.26
"$323,000","$329,228","$6,228",98.07
"$535,000","$536,584","$1,584",99.7
"$210,000","$198,618","$11,382",94.58
"$315,900","$444,306","$128,406",59.35
"$549,000","$981,986","$432,986",21.13
"$444,900","$440,124","$4,776",98.93
"$199,900","$313,631","$113,731",43.11
"$900,000","$800,723","$99,277",88.97
"$140,000","$297,711","$157,711",-12.65
"$215,000","$195,951","$19,049",91.14
"$699,000","$578,565","$120,435",82.77
"$230,000","$286,317","$56,317",75.51
"$490,000","$549,120","$59,120",87.93
"$560,000","$638,847","$78,847",85.92
"$1,195,000","$1,027,983","$167,017",86.02
"$215,000","$261,742","$46,742",78.26
"$995,000","$1,006,090","$11,090",98.89
"$215,000","$255,686","$40,686",81.08
"$230,000","$379,368","$149,368",35.06
"$166,000","$288,958","$122,958",25.93
"$599,900","$614,656","$14,756",97.54
"$500,000","$525,159","$25,159",94.97
"$400,000","$429,934","$29,934",92.52
"$550,000","$573,451","$23,451",95.74
"$229,900","$307,426","$77,526",66.28
"$195,000","$221,374","$26,374",86.47
"$179,900","$207,221","$27,321",84.81
"$839,000","$810,244","$28,756",96.57
"$865,000","$830,188","$34,812",95.98
"$339,900","$351,952","$12,052",96.45
"$421,635","$485,361","$63,726",84.89
"$267,500","$257,148","$10,352",96.13
"$1,130,000","$1,058,390","$71,610",93.66
"$233,000","$234,228","$1,228",99.47
"$415,000","$382,420","$32,580",92.15
"$224,999","$225,987",$988,99.56
"$445,000","$520,654","$75,654",83.0
"$199,000","$220,026","$21,026",89.43
"$599,000","$594,531","$4,469",99.25
"$429,900","$372,264","$57,636",86.59
"$465,000","$593,139","$128,139",72.44
"$625,000","$554,439","$70,561",88.71
"$195,000","$208,751","$13,751",92.95
"$199,000","$227,506","$28,506",85.68
"$689,900","$590,674","$99,226",85.62
"$599,000","$581,097","$17,903",97.01
"$500,000","$562,384","$62,384",87.52
"$461,900","$413,618","$48,282",89.55
"$1,389,000","$1,193,135","$195,865",85.9
"$672,000","$560,692","$111,308",83.44
"$205,000","$206,099","$1,099",99.46
"$337,000","$332,106","$4,894",98.55
"$200,000","$202,708","$2,708",98.65
"$1,300,000","$501,978","$798,022",38.61
"$515,000","$492,238","$22,762",95.58
"$675,000","$717,432","$42,432",93.71
"$950,000","$1,102,180","$152,180",83.98
"$640,000","$578,118","$61,882",90.33
"$547,000","$468,100","$78,900",85.58
"$182,000","$224,672","$42,672",76.55
"$529,900","$697,169","$167,269",68.43
"$179,900","$193,716","$13,816",92.32
"$375,000","$444,068","$69,068",81.58
"$925,000","$727,330","$197,670",78.63
"$205,000","$236,425","$31,425",84.67
"$550,000","$504,516","$45,484",91.73
"$339,000","$469,284","$130,284",61.57
"$450,000","$570,633","$120,633",73.19
"$800,000","$642,364","$157,636",80.3
"$459,900","$397,277","$62,623",86.38
"$495,000","$450,205","$44,795",90.95
"$575,000","$574,503",$497,99.91
"$729,500","$649,410","$80,090",89.02
"$631,000","$565,180","$65,820",89.57
"$498,500","$436,117","$62,383",87.49
"$595,000","$493,383","$101,617",82.92
"$714,900","$635,500","$79,400",88.89
"$390,000","$432,210","$42,210",89.18
"$419,000","$427,716","$8,716",97.92
"$675,000","$555,112","$119,888",82.24
"$460,000","$464,239","$4,239",99.08
"$389,000","$444,310","$55,310",85.78
"$529,000","$493,543","$35,457",93.3
"$1,099,000","$879,364","$219,636",80.01
"$850,000","$693,184","$156,816",81.55
"$500,000","$399,301","$100,699",79.86
"$535,000","$585,179","$50,179",90.62
"$800,000","$642,498","$157,502",80.31
"$699,900","$731,623","$31,723",95.47
"$599,900","$612,650","$12,750",97.87
"$381,900","$407,530","$25,630",93.29
"$519,000","$581,058","$62,058",88.04
"$449,900","$409,424","$40,476",91.0
"$732,000","$578,015","$153,985",78.96
"$519,444","$525,353","$5,909",98.86
"$484,900","$530,143","$45,243",90.67
"$875,000","$809,029","$65,971",92.46
"$399,500","$451,036","$51,536",87.1
"$750,000","$688,333","$61,667",91.78
"$449,900","$498,040","$48,140",89.3
"$840,000","$773,796","$66,204",92.12
"$428,500","$711,650","$283,150",33.92
"$435,000","$524,499","$89,499",79.43
"$449,700","$502,239","$52,539",88.32
"$689,990","$694,852","$4,862",99.3
"$720,000","$657,565","$62,435",91.33
"$460,000","$497,610","$37,610",91.82
"$650,000","$754,652","$104,652",83.9
"$589,999","$647,421","$57,422",90.27
"$515,000","$499,451","$15,549",96.98
"$750,000","$689,922","$60,078",91.99
"$875,000","$691,987","$183,013",79.08
"$650,000","$531,475","$118,525",81.77
"$824,500","$656,534","$167,966",79.63
"$509,900","$579,888","$69,988",86.27
"$399,900","$482,126","$82,226",79.44
"$514,444","$523,482","$9,038",98.24
"$525,000","$583,174","$58,174",88.92
"$400,000","$474,455","$74,455",81.39
"$475,000","$499,727","$24,727",94.79
"$429,000","$416,962","$12,038",97.19
"$550,000","$446,719","$103,281",81.22
"$835,000","$605,135","$229,865",72.47
"$569,444","$555,835","$13,609",97.61
"$524,900","$528,035","$3,135",99.4
"$199,000","$291,689","$92,689",53.42
"$415,000","$416,816","$1,816",99.56
"$884,000","$941,292","$57,292",93.52
"$705,000","$595,840","$109,160",84.52
"$525,000","$665,636","$140,636",73.21
"$500,000","$483,259","$16,741",96.65
"$574,900","$540,338","$34,562",93.99
"$829,000","$834,374","$5,374",99.35
"$799,000","$746,126","$52,874",93.38
"$625,000","$492,307","$132,693",78.77
"$1,200,000","$909,789","$290,211",75.82
"$750,000","$575,701","$174,299",76.76
"$649,900","$538,898","$111,002",82.92
"$800,000","$601,726","$198,274",75.22
"$749,777","$615,011","$134,766",82.03
"$462,900","$518,645","$55,745",87.96
"$575,000","$545,666","$29,334",94.9
"$469,000","$604,308","$135,308",71.15
"$399,000","$458,313","$59,313",85.13
"$675,000","$616,828","$58,172",91.38
"$420,000","$466,436","$46,436",88.94
"$599,000","$625,039","$26,039",95.65
"$474,900","$372,166","$102,734",78.37
"$699,000","$571,923","$127,077",81.82
"$774,500","$711,072","$63,428",91.81
"$490,000","$560,172","$70,172",85.68
"$887,000","$866,198","$20,802",97.65
"$660,000","$670,438","$10,438",98.42
"$343,900","$519,511","$175,611",48.94
"$650,000","$591,915","$58,085",91.06
"$539,000","$618,207","$79,207",85.3
"$369,900","$308,760","$61,140",83.47
"$355,000","$342,912","$12,088",96.59
"$349,000","$299,580","$49,420",85.84
"$315,000","$341,988","$26,988",91.43
"$339,000","$399,808","$60,808",82.06
"$369,900","$270,104","$99,796",73.02
"$610,000","$590,732","$19,268",96.84
"$409,000","$310,080","$98,920",75.81
"$550,000","$521,694","$28,306",94.85
"$337,900","$381,791","$43,891",87.01
"$479,900","$630,626","$150,726",68.59
"$495,000","$655,323","$160,323",67.61
"$495,000","$469,152","$25,848",94.78
"$649,500","$699,802","$50,302",92.26
"$579,000","$506,349","$72,651",87.45
"$985,000","$1,087,804","$102,804",89.56
"$375,000","$392,839","$17,839",95.24
"$419,900","$685,818","$265,918",36.67
"$389,900","$502,366","$112,466",71.16
"$369,900","$328,397","$41,503",88.78
"$514,000","$518,734","$4,734",99.08
"$310,000","$449,997","$139,997",54.84
"$435,000","$435,552",$552,99.87
"$479,000","$470,611","$8,389",98.25
"$478,500","$525,861","$47,361",90.1
"$924,500","$684,826","$239,674",74.08
"$389,000","$606,720","$217,720",44.03
"$225,000","$249,776","$24,776",88.99
"$221,900","$230,717","$8,817",96.03
"$259,900","$299,526","$39,626",84.75
"$220,000","$247,217","$27,217",87.63
"$269,900","$253,029","$16,871",93.75
"$321,000","$328,611","$7,611",97.63
"$225,000","$253,798","$28,798",87.2
"$375,000","$402,144","$27,144",92.76
"$245,000","$223,408","$21,592",91.19
"$239,900","$244,730","$4,830",97.99
"$285,000","$265,339","$19,661",93.1
"$299,900","$280,678","$19,222",93.59
"$280,000","$253,050","$26,950",90.38
"$229,000","$251,267","$22,267",90.28
"$295,000","$262,085","$32,915",88.84
"$350,000","$358,529","$8,529",97.56
"$194,500","$270,198","$75,698",61.08
"$300,000","$281,232","$18,768",93.74
"$269,000","$331,564","$62,564",76.74
"$315,000","$296,415","$18,585",94.1
"$269,900","$287,868","$17,968",93.34
"$220,000","$220,396",$396,99.82
"$257,000","$250,935","$6,065",97.64
"$279,900","$251,967","$27,933",90.02
"$267,500","$274,059","$6,559",97.55
"$315,000","$339,267","$24,267",92.3
"$325,250","$341,663","$16,413",94.95
"$349,900","$442,102","$92,202",73.65
"$210,000","$227,812","$17,812",91.52
"$289,000","$270,167","$18,833",93.48
"$299,900","$329,408","$29,508",90.16
"$499,950","$660,978","$161,028",67.79
"$225,000","$222,804","$2,196",99.02
"$250,000","$261,187","$11,187",95.53
"$285,000","$272,146","$12,854",95.49
"$260,000","$294,938","$34,938",86.56
"$320,000","$366,429","$46,429",85.49
"$479,900","$430,416","$49,484",89.69
"$529,999","$487,936","$42,063",92.06
"$699,000","$570,805","$128,195",81.66
"$439,900","$378,205","$61,695",85.98
"$259,000","$256,541","$2,459",99.05
"$623,000","$739,143","$116,143",81.36
"$340,000","$366,308","$26,308",92.26
"$399,900","$382,638","$17,262",95.68
"$582,500","$680,718","$98,218",83.14
"$290,000","$338,109","$48,109",83.41
"$285,000","$257,557","$27,443",90.37
"$524,900","$534,525","$9,625",98.17
"$289,700","$325,729","$36,029",87.56
"$272,000","$237,423","$34,577",87.29
"$349,700","$384,958","$35,258",89.92
"$139,900","$268,001","$128,101",8.43
"$415,000","$453,969","$38,969",90.61
"$256,000","$285,973","$29,973",88.29
"$499,999","$612,539","$112,540",77.49
"$550,000","$542,656","$7,344",98.66
"$519,900","$606,399","$86,499",83.36
"$679,500","$746,966","$67,466",90.07
"$479,900","$519,905","$40,005",91.66
"$409,900","$466,256","$56,356",86.25
"$284,900","$344,749","$59,849",78.99
"$549,900","$581,691","$31,791",94.22
"$325,000","$330,661","$5,661",98.26
"$247,900","$257,340","$9,440",96.19
"$220,000","$255,090","$35,090",84.05
"$689,000","$776,429","$87,429",87.31
"$349,900","$266,125","$83,775",76.06
"$399,000","$451,792","$52,792",86.77
"$299,900","$344,707","$44,807",85.06
"$269,900","$348,398","$78,498",70.92
"$500,000","$542,188","$42,188",91.56
"$600,000","$764,276","$164,276",72.62
"$265,000","$259,174","$5,826",97.8
"$367,500","$425,581","$58,081",84.2
"$399,900","$411,336","$11,436",97.14
"$275,000","$339,010","$64,010",76.72
"$435,000","$385,029","$49,971",88.51
"$519,900","$519,332",$568,99.89
"$414,900","$632,486","$217,586",47.56
"$525,000","$585,591","$60,591",88.46
"$885,000","$789,312","$95,688",89.19
"$809,990","$586,915","$223,075",72.46
"$850,000","$812,579","$37,421",95.6
"$1,125,000","$858,177","$266,823",76.28
"$674,900","$607,381","$67,519",90.0
"$549,500","$505,465","$44,035",91.99
"$725,000","$711,703","$13,297",98.17
"$255,000","$204,579","$50,421",80.23
"$580,000","$585,550","$5,550",99.04
"$545,000","$511,747","$33,253",93.9
"$485,000","$527,740","$42,740",91.19
"$1,105,000","$858,315","$246,685",77.68
"$285,000","$346,412","$61,412",78.45
"$600,000","$619,234","$19,234",96.79
"$875,000","$632,434","$242,566",72.28
"$579,900","$597,716","$17,816",96.93
"$675,000","$592,696","$82,304",87.81
"$1,225,000","$1,065,191","$159,809",86.95
"$1,350,000","$796,742","$553,258",59.02
"$1,200,000","$704,371","$495,629",58.7
"$479,000","$507,706","$28,706",94.01
"$309,900","$257,432","$52,468",83.07
"$619,900","$535,724","$84,176",86.42
"$475,000","$617,923","$142,923",69.91
"$1,000,000","$643,908","$356,092",64.39
"$374,500","$456,767","$82,267",78.03
"$968,000","$1,017,960","$49,960",94.84
"$750,000","$739,033","$10,967",98.54
"$299,900","$321,454","$21,554",92.81
"$990,000","$881,549","$108,451",89.05
"$480,000","$496,988","$16,988",96.46
"$549,000","$551,198","$2,198",99.6
"$899,900","$833,817","$66,083",92.66
"$585,000","$476,355","$108,645",81.43
"$439,900","$432,188","$7,712",98.25
"$595,000","$500,041","$94,959",84.04
"$489,000","$499,227","$10,227",97.91
"$499,000","$475,570","$23,430",95.3
"$739,000","$713,077","$25,923",96.49
"$515,000","$488,696","$26,304",94.89
"$585,950","$777,034","$191,084",67.39
"$799,900","$640,304","$159,596",80.05
"$850,000","$808,839","$41,161",95.16
"$500,000","$597,327","$97,327",80.53
"$260,000","$351,346","$91,346",64.87
"$260,000","$263,775","$3,775",98.55
"$1,098,500","$722,113","$376,387",65.74
"$674,000","$593,021","$80,979",87.99
"$349,000","$336,924","$12,076",96.54
"$775,000","$641,803","$133,197",82.81
"$235,000","$517,303","$282,303",-20.13
"$419,900","$454,026","$34,126",91.87
"$699,000","$593,117","$105,883",84.85
"$574,999","$585,351","$10,352",98.2
"$700,000","$645,404","$54,596",92.2
"$679,900","$587,448","$92,452",86.4
"$610,000","$517,742","$92,258",84.88
"$419,000","$442,255","$23,255",94.45
"$659,500","$603,664","$55,836",91.53
"$499,900","$670,768","$170,868",65.82
"$499,000","$839,174","$340,174",31.83
"$689,000","$739,519","$50,519",92.67
"$725,000","$641,875","$83,125",88.53
"$360,000","$335,727","$24,273",93.26
"$725,000","$683,050","$41,950",94.21
"$675,000","$667,077","$7,923",98.83
"$225,000","$312,099","$87,099",61.29
"$745,000","$788,347","$43,347",94.18
"$236,500","$216,854","$19,646",91.69
"$299,000","$310,067","$11,067",96.3
"$344,900","$298,351","$46,549",86.5
"$625,000","$520,235","$104,765",83.24
"$425,900","$367,321","$58,579",86.25
"$1,495,000","$889,499","$605,501",59.5
"$380,000","$670,707","$290,707",23.5
"$569,900","$556,915","$12,985",97.72
"$599,000","$577,741","$21,259",96.45
"$598,000","$518,898","$79,102",86.77
"$589,900","$582,968","$6,932",98.82
"$599,000","$701,636","$102,636",82.87
"$650,000","$652,336","$2,336",99.64
"$315,000","$319,029","$4,029",98.72
"$799,000","$775,299","$23,701",97.03
"$1,050,000","$776,294","$273,706",73.93
"$405,000","$282,221","$122,779",69.68
"$1,300,000","$969,501","$330,499",74.58
"$190,000","$216,656","$26,656",85.97
"$228,900","$216,656","$12,244",94.65
"$675,000","$889,576","$214,576",68.21
"$299,000","$249,249","$49,751",83.36
"$299,900","$328,778","$28,878",90.37
"$435,000","$246,436","$188,564",56.65
"$799,900","$744,414","$55,486",93.06
"$270,000","$256,806","$13,194",95.11
"$340,000","$341,283","$1,283",99.62
"$774,900","$750,066","$24,834",96.8
"$244,900","$258,059","$13,159",94.63
"$249,900","$233,586","$16,314",93.47
"$749,500","$915,560","$166,060",77.84
"$624,999","$655,508","$30,509",95.12
"$875,000","$887,575","$12,575",98.56
"$499,000","$334,156","$164,844",66.97
"$253,000","$250,325","$2,675",98.94
"$770,000","$888,563","$118,563",84.6
"$309,000","$334,519","$25,519",91.74
"$329,990","$393,666","$63,676",80.7
"$300,000","$362,796","$62,796",79.07
"$389,900","$387,185","$2,715",99.3
"$775,000","$660,059","$114,941",85.17
"$1,125,000","$866,743","$258,257",77.04
"$399,900","$349,377","$50,523",87.37
"$699,000","$768,852","$69,852",90.01
"$148,900","$350,497","$201,597",-35.39
"$114,000","$268,225","$154,225",-35.29
"$995,000","$805,449","$189,551",80.95
"$1,100,000","$977,853","$122,147",88.9
"$365,000","$962,551","$597,551",-63.71
"$675,000","$831,609","$156,609",76.8
"$825,000","$820,296","$4,704",99.43
"$530,000","$637,425","$107,425",79.73
"$1,195,000","$796,539","$398,461",66.66
"$850,000","$1,007,219","$157,219",81.5
"$700,000","$918,830","$218,830",68.74
"$1,100,000","$1,021,218","$78,782",92.84
"$379,000","$403,941","$24,941",93.42
"$410,000","$360,383","$49,617",87.9
"$250,000","$274,815","$24,815",90.07
"$359,700","$397,396","$37,696",89.52
"$349,900","$361,262","$11,362",96.75
"$415,000","$370,379","$44,621",89.25
"$275,000","$324,706","$49,706",81.93
"$289,000","$337,729","$48,729",83.14
"$409,000","$402,079","$6,921",98.31
"$249,000","$326,190","$77,190",69.0
"$199,997","$278,380","$78,383",60.81
"$259,900","$309,227","$49,327",81.02
"$285,000","$342,474","$57,474",79.83
"$325,000","$393,271","$68,271",78.99
"$364,900","$337,098","$27,802",92.38
"$440,000","$344,967","$95,033",78.4
"$310,000","$252,392","$57,608",81.42
"$359,900","$301,378","$58,522",83.74
"$279,900","$329,011","$49,111",82.45
"$237,500","$252,701","$15,201",93.6
"$250,000","$326,757","$76,757",69.3
"$395,000","$366,461","$28,539",92.77
"$400,000","$382,733","$17,267",95.68
"$300,000","$297,040","$2,960",99.01
"$320,000","$272,097","$47,903",85.03
"$199,900","$290,129","$90,229",54.86
"$362,500","$311,777","$50,723",86.01
"$279,000","$362,894","$83,894",69.93
"$375,000","$332,487","$42,513",88.66
"$215,000","$230,578","$15,578",92.75
"$317,000","$322,551","$5,551",98.25
"$325,000","$284,320","$40,680",87.48
"$374,900","$355,819","$19,081",94.91
"$415,000","$395,260","$19,740",95.24
"$349,900","$292,476","$57,424",83.59
"$285,000","$326,936","$41,936",85.29
"$414,900","$419,897","$4,997",98.8
"$295,000","$265,106","$29,894",89.87
"$374,000","$317,772","$56,228",84.97
"$450,000","$472,814","$22,814",94.93
"$325,000","$340,620","$15,620",95.19
"$150,000","$246,259","$96,259",35.83
"$295,000","$325,725","$30,725",89.58
"$475,000","$331,783","$143,217",69.85
"$229,999","$371,757","$141,758",38.37
"$250,000","$220,372","$29,628",88.15
"$224,900","$384,374","$159,474",29.09
"$320,000","$257,797","$62,203",80.56
"$185,000","$220,826","$35,826",80.63
"$245,000","$276,426","$31,426",87.17
"$165,000","$305,866","$140,866",14.63
"$350,000","$317,520","$32,480",90.72
"$437,500","$341,711","$95,789",78.11
"$375,000","$335,537","$39,463",89.48
"$325,000","$349,181","$24,181",92.56
"$390,000","$324,349","$65,651",83.17
"$282,350","$373,307","$90,957",67.79
"$359,000","$290,657","$68,343",80.96
"$335,000","$276,028","$58,972",82.4
"$212,500","$236,142","$23,642",88.87
"$297,500","$300,155","$2,655",99.11
"$200,000","$318,790","$118,790",40.61
"$260,000","$316,202","$56,202",78.38
"$199,900","$201,186","$1,286",99.36
"$279,000","$295,797","$16,797",93.98
"$410,000","$341,024","$68,976",83.18
"$329,000","$302,438","$26,562",91.93
"$314,999","$327,091","$12,092",96.16
"$210,000","$528,081","$318,081",-51.47
"$339,500","$341,383","$1,883",99.45
"$415,000","$415,573",$573,99.86
"$275,000","$285,369","$10,369",96.23
"$435,000","$329,989","$105,011",75.86
"$231,500","$248,325","$16,825",92.73
"$195,000","$201,812","$6,812",96.51
"$235,000","$417,526","$182,526",22.33
"$425,200","$376,649","$48,551",88.58
"$425,000","$329,022","$95,978",77.42
"$379,500","$320,186","$59,314",84.37
"$650,000","$644,298","$5,702",99.12
"$460,000","$430,335","$29,665",93.55
"$415,000","$397,231","$17,769",95.72
"$189,900","$260,952","$71,052",62.58
"$459,777","$353,147","$106,630",76.81
"$349,000","$342,039","$6,961",98.01
"$329,900","$331,845","$1,945",99.41
"$385,000","$401,382","$16,382",95.74
"$339,900","$288,997","$50,903",85.02
"$319,900","$336,204","$16,304",94.9
"$300,000","$291,918","$8,082",97.31
"$349,900","$322,170","$27,730",92.07
"$389,000","$337,197","$51,803",86.68
"$335,000","$269,162","$65,838",80.35
"$229,900","$245,344","$15,444",93.28
"$434,900","$415,213","$19,687",95.47
"$188,000","$394,862","$206,862",-10.03
"$375,000","$285,323","$89,677",76.09
"$212,900","$204,678","$8,222",96.14
"$559,000","$438,086","$120,914",78.37
